wave;url;title;type;demand;uk;us;phrases;winnability;serp;top
1;/golden-visa/;Greece Golden Visa 2026: €250k, €400k and €800k Tiers Explained;hub;15230;2800;9050;96;open;advisory + gov, порталов нет: henley, getgoldenvisa, immigrantinvest, migration.gov.gr;greece golden visa (2900) · greece golden visa (1000) · golden visa greece (1000) · greek golden visa (880)
1;/living-in-greece/cost-of-living/;Cost of Living in Greece 2026: Real Monthly Budgets by City;guide;3090;260;2520;23;open;numbeo, internationalliving, wise + 3 из 9 форумы и YouTube;cost of living in greece (1000) · cost of living in greece (260) · cost of living in greece vs usa (210) · cost of living in greece (170)
1;/guides/buying-property-in-greece/;Buying Property in Greece as a Foreigner: The 2026 Process;guide;2830;1410;1000;32;open;"форумы и advisory; getgoldenvisa на 5 месте с одной страницей";buying property in greece (880) · buying property in greece (390) · buying property in greece (140) · buying property in greece (140)
1;/property-for-sale/kefalonia/;Property for Sale in Kefalonia, Greece: Houses and Villas;catalog;2760;2390;370;13;open;четыре крошечных локальных агентства в топе;property for sale in kefalonia greece (1000) · houses for sale in kefalonia greece (720) · property for sale kefalonia greece (210) · property kefalonia greece (140)
1;/living-in-greece/;Living in Greece as a Foreigner: What the Guides Leave Out;hub;2750;340;2250;33;open;форумы и advisory, порталов нет;living in greece (720) · living in greece as an american (320) · living in greece (260) · americans living in greece (140)
1;/living-in-greece/moving/;Moving to Greece in 2026: Visas, Costs and the First 90 Days;guide;1940;1220;720;17;open;"reddit, facebook, youtube держат 3 из 9; gov.uk первый";moving to greece (720) · moving to greece from uk (480) · moving to greece (260) · moving from uk to greece (170)
2;/guides/amanda-and-alan-greek-job-real-costs/;Amanda and Alan's Greek Job: What Renovating in Greece Actually Costs;guide;5200;5200;0;6;open;"rightmove первым, но статьёй /news/articles/, а не листингом; CPC 0, верх воронки";amanda and alan's greek job (2400) · alan and amanda greece (1300) · amanda and alan greek job (1300)
2;/property-news/;Greece Property Market News: Prices, Transactions and Policy;news;1870;360;1510;15;open;"ekathimerini, globalpropertyguide, локальные агентства; портального замка нет";greece real estate news today (720) · greece real estate news (590) · house prices in greece (140) · prices of houses in greece (110)
2;/property-for-sale/skiathos/;Property for Sale in Skiathos, Greece: Sporades Houses and Villas;catalog;1850;1770;80;11;open;один сайт-одностраничник на первом месте, facebook на шестом;property for sale in skiathos greece (590) · houses for sale in skiathos greece (320) · property for sale in skopelos greece (210) · houses for sale in skopelos greece (170)
2;/property-for-sale/cheap/;Cheap Property for Sale in Greece: Homes Under €100,000;catalog;1820;1770;20;22;open;"holprop, makoo, facebook, youtube; редакционного ответа нет";cheap houses for sale in greece near beach (260) · property for sale in greece under 50k (170) · cheap houses for sale in greece (170) · cheap property in greece (140)
2;/visas/retirement/;Greece Retirement Visa 2026: FIP Route, Income Proof and 7% Pension Tax;guide;1460;310;1040;11;open;advisory + форумы, порталов нет;retire in greece (480) · greece retirement visa (320) · greece fip visa (140) · retire in greece (110)
2;/golden-visa/news/;Greece Golden Visa News: Every Rule Change in 2026;news;1220;0;1220;11;open;"getgoldenvisa держит один страницей; медиа и advisory, порталов нет";golden visa greece applications drop (390) · greece golden visa news (210) · greece golden visa expansion (210) · greece golden visa news october 2025 (110)
2;/visas/digital-nomad/;Greece Digital Nomad Visa 2026: Income Rules, Tax and How to Apply;guide;800;210;590;2;open;advisory + gov, порталов нет;greece digital nomad visa (590) · greece digital nomad visa (210)
2;/guides/cost-of-buying-property-in-greece/;What It Costs to Buy Property in Greece: Every Fee in 2026;guide;360;140;220;17;open;advisory, порталов нет;real estate tax greece (90) · mortgage in greece for foreigners (30) · greece non dom tax regime (30) · mortgage in greece for foreigners (20)
3;/property-for-sale/cyclades/;Property for Sale in the Cyclades: Paros, Naxos, Santorini, Mykonos;catalog;4620;1650;2970;53;mixed;порталы + локальные санторинские сайты;houses for sale in santorini greece (590) · santorini real estate (210) · mykonos real estate (210) · houses for sale in mykonos greece (210)
3;/property-for-sale/athens/;Property for Sale in Athens, Greece: Apartments and Riviera Homes;catalog;2740;360;2310;31;mixed;порталы + греческие агентства;athens real estate (1000) · houses for sale in athens greece (480) · athens greece real estate (210) · porto rafti greece real estate (170)
3;/property-for-sale/zakynthos/;Property for Sale in Zakynthos (Zante), Greece: Houses and Villas;catalog;2150;2040;110;11;mixed;порталы + greekexclusiveproperties;property for sale in zante greece (590) · zakynthos greece property for sale (480) · property for sale in zakynthos greece (320) · houses for sale in zante greece (320)
3;/property-for-sale/rhodes/;Property for Sale in Rhodes, Greece: Island Houses and Villas;catalog;2070;1660;410;24;mixed;rightmove, spitogatos, facebook, engelvoelkers;property for sale rhodes island greece (320) · houses for sale in rhodes greece (210) · property for sale kos greece (170) · property for sale in rhodes greece (170)
3;/property-for-sale/lefkada/;Property for Sale in Lefkada and Paxos, Greece: Ionian Houses;catalog;1990;1690;300;23;mixed;порталы + greekexclusiveproperties на 2 месте;property for sale in lefkada greece (260) · property for sale lefkada greece (210) · property for sale in paxos greece (210) · property for sale paxos greece (140)
3;/property-for-sale/peloponnese/;Property for Sale in the Peloponnese, Greece: Houses and Land;catalog;1210;700;510;20;mixed;порталы, слабая конкуренция;property for sale in peloponnese greece (210) · property sale peloponnese greece (140) · property for sale peloponnese greece (110) · houses for sale in peloponnese greece (110)
3;/property-for-sale/halkidiki/;Property for Sale in Halkidiki and Northern Greece;catalog;850;530;320;20;mixed;порталы, слабая конкуренция;thessaloniki real estate (110) · property for sale in thessaloniki greece (90) · properties for sale in thassos greece (90) · real estate thessaloniki greece (70)
3;/property-for-sale/greek-islands/;Property for Sale on the Greek Islands: Every Island Compared;hub;770;750;20;8;mixed;greekexclusiveproperties на 2 месте, rightmove на 1;property for sale in greece islands (320) · houses for sale in greece islands (210) · greek islands property for sale (110) · buy house in greece island (70)
4;/property-for-sale/;Property for Sale in Greece: Houses, Villas and Land;hub;36760;19340;13080;148;locked;rightmove, aplaceinthesun, spitogatos, zoopla, savills, green-acres;houses for sale in greece (2400) · homes for sale in greece (2400) · property for sale in greece (1300) · property for sale greece (1300)
4;/property-for-sale/corfu/;Property for Sale in Corfu, Greece: Houses, Villas and Land;catalog;10450;8710;1230;24;locked;rightmove, aplaceinthesun, zoopla, spitogatos + локальные;property sales corfu greece (2900) · property for sale in corfu greece (1300) · houses for sale in corfu greece (1300) · houses for sale in greece corfu (1000)
4;/property-for-sale/crete/;Property for Sale in Crete, Greece: Houses and Villas from €60,000;catalog;10150;6320;2950;41;locked;rightmove, aplaceinthesun, spitogatos + критские агентства;property for sale in crete greece (1600) · houses for sale in crete greece (1300) · property for sale crete greece (720) · houses for sale in crete greece (720)
9;/visas/;Greece Visas for Non-EU Buyers: Every Route to Residency;hub;670;70;600;9;trap;gov-сайты держат 4-5 из 10: mfa.gr, travel.state.gov, gov.uk;greece visa for us citizens (480) · visa golden greece (50) · greece citizenship requirements (40) · greece visa for us citizens (20)
